category,title,total_used,used_grades
GCSE,Citizenship Studies,1892,"[""6"", ""7"", ""8"", ""B"", ""5"", ""4"", ""9"", ""C"", ""3"", ""2"", ""1"", ""A"", ""A*"", ""D""]"
GCSE,Media Studies,1869,"[""A"", ""B"", ""5"", ""C"", ""8"", ""A*"", ""4"", ""7"", ""D"", ""6"", ""3"", ""2"", ""E"", ""9"", ""G"", ""F"", ""1"", ""U""]"
GCSE,Mathematics - Applications,1854,"[""C"", ""B"", ""A"", ""6"", ""5"", ""7"", ""A*"", ""4"", ""1"", ""3"", ""8"", ""2"", ""9""]"
GCSE,Mathematics - Use of Mathematics,1822,"[""C"", ""B"", ""A"", ""5"", ""6"", ""7"", ""3"", ""2"", ""4"", ""9"", ""1"", ""8"", ""A*""]"
GCSE,Information and Communication Technology,1341,"[""B"", ""A"", ""D"", ""C"", ""A*"", ""6"", ""4"", ""7"", ""5"", ""E"", ""3"", ""9"", ""1"", ""8"", ""F"", ""U""]"
GCSE,Food Preparation and Nutrition,1236,"[""9"", ""5"", ""7"", ""8"", ""4"", ""6"", ""A*"", ""3"", ""A"", ""B"", ""E"", ""2"", ""C"", ""D"", ""1""]"
GCSE,Psychology,1204,"[""6"", ""B"", ""A*"", ""A"", ""8"", ""D"", ""C"", ""E"", ""5"", ""7"", ""4"", ""3"", ""9"", ""U"", ""F"", ""G"", ""2"", ""1""]"
GCSE,Science - combined,1196,"[""A*"", ""6-6"", ""7-6"", ""A"", ""8""]"
GCSE,Applied Art and Design ,1134,"[""B"", ""6"", ""7"", ""5"", ""A"", ""4"", ""8"", ""A*"", ""3"", ""C"", ""D"", ""2"", ""9"", ""1"", ""E"", ""G""]"
GCSE,Economics,1128,"[""B"", ""A"", ""C"", ""6"", ""D"", ""A*"", ""8"", ""5"", ""9"", ""7"", ""4"", ""G"", ""E"", ""3"", ""2"", ""F""]"
GCSE,Computing,1124,"[""B"", ""A*"", ""8"", ""7"", ""6"", ""4"", ""5"", ""A"", ""C"", ""9"", ""3"", ""D"", ""E"", ""U"", ""2"", ""1"", ""F""]"
GCSE,Product Design,961,"[""4"", ""C"", ""B"", ""6"", ""A"", ""7"", ""5"", ""8"", ""A*"", ""9"", ""3"", ""2"", ""D"", ""E""]"
GCSE,Science - Additional ,944,"[""B"", ""A*"", ""A"", ""7"", ""5"", ""8"", ""6"", ""C"", ""3"", ""D"", ""4"", ""F"", ""E"", ""2"", ""9"", ""1""]"
GCSE,Photography,729,"[""5"", ""6"", ""B"", ""7"", ""9"", ""8"", ""4"", ""3"", ""2"", ""A*"", ""A"", ""C""]"
GCSE,Graphics,717,"[""B"", ""A*"", ""7"", ""C"", ""A"", ""6"", ""3"", ""D"", ""5"", ""8"", ""4"", ""9"", ""2"", ""E"", ""F""]"
GCSE,Health and Social Care ,709,"[""C"", ""B"", ""A"", ""6"", ""A*"", ""D"", ""3"", ""7"", ""5"", ""8"", ""9"", ""4"", ""2"", ""E"", ""F"", ""G"", ""U"", ""1""]"
GCSE,Arabic,680,"[""A*"", ""D"", ""9"", ""8"", ""5"", ""A"", ""7"", ""C"", ""2"", ""6"", ""B"", ""1"", ""4"", ""E"", ""3""]"
